pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,25,1,101,1,,,,,260.18505370800267,261.1850664160156,261.1850664160156,261.1850664160156,261.1850664160156,261.1850664160156,262.18585312500363,262.18585312500363,v,1,0.5273584999958985,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,25,2,102,2,,,,,262.73493116602185,263.73606929101516,263.73606929101516,263.73606929101516,263.73606929101516,263.73606929101516,264.7183401250222,264.7183401250222,c,1,0.629688500019256,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,25,3,103,3,,,,,265.36858454102185,266.35245529102394,266.35245529102394,266.35245529102394,266.35245529102394,266.368835375004,267.3517187910038,267.3517187910038,z,1,0.8744837090198416,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,26,0,104,0,,,,,268.2518515830161,269.23535462500877,269.23535462500877,269.23535462500877,269.23535462500877,269.2525207500148,270.2352753330197,270.2352753330197,x,1,0.5546602919930592,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,26,1,105,1,,,,,270.8186946250207,271.8025484580139,271.8025484580139,271.8025484580139,271.8025484580139,271.8193263330031,272.80289804100175,272.80289804100175,v,1,0.3992292500042822,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,26,2,106,2,,,,,273.21887900002184,274.21910108299926,274.21910108299926,274.21910108299926,274.21910108299926,274.21910108299926,275.2196188750095,275.2196188750095,c,1,0.440739042009227,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,26,3,107,3,,,,,275.68563137500314,276.68561595800566,276.68561595800566,276.68561595800566,276.68561595800566,276.68561595800566,277.6688967500231,277.6688967500231,z,1,0.41791570899658836,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-50,x,27,0,108,0,,,,,278.11892729101237,279.10283275000984,279.10283275000984,279.10283275000984,279.10283275000984,279.118983458,280.10368116601603,280.10368116601603,x,1,0.4307439999829512,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
150,v,27,1,109,1,,,,,280.55232608300867,281.55252654102514,281.55252654102514,281.55252654102514,281.55252654102514,281.55252654102514,282.53598516600323,282.53598516600323,v,1,0.5060891250032,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
50,c,27,2,110,2,,,,,283.06894458300667,284.05248612500145,284.05248612500145,284.05248612500145,284.05248612500145,284.06987691600807,285.0525535000197,285.0525535000197,c,1,0.3490679170063231,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
-150,z,27,3,111,3,,,,,285.41912004101323,286.419210166001,286.419210166001,286.419210166001,286.419210166001,286.419210166001,287.4026353750087,287.4026353750087,z,1,0.6008119589823764,None,412603,001,2023-10-17_16h54.22.548,sequential_learning_exp,2023.1.3,60.33152146403869,
